batch_size,epochs,learning_rate,optimizer,start_neurons,dropout_rate,filters,kernel_size,padding,l2_r,l1_r,activation,output_layer_activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
512,25,0.1,rmsprop,relu,0,13,7,0.3,0.0001,softmax,same,32,4644.65039063,0.5244140625,0.5244140625,0.5244140625,4644.61865234,0.51953125,0.51953125,0.51953125
256,35,1e-05,sgd,sigmoid,0.2,23,11,0.01,0.2,softmax,same,32,83.621055603,0.4794921875,0.4794921875,0.4794921875,83.6238479614,0.48291015625,0.48291015625,0.48291015625
16,30,0.1,adam,softmax,0.4,25,13,0.0001,0.0001,softmax,same,128,3.742208004,0.49724265933,0.49724265933,0.49724265933,3.74373912811,0.478645831347,0.478645831347,0.478645831347
16,30,0.001,rmsprop,softmax,0,11,13,0.01,0.2,sigmoid,same,128,5.04657506943,0.49724265933,0.49724265933,0.49724265933,5.04716825485,0.47812500596,0.47812500596,0.47812500596
256,25,1e-05,adam,softmax,0.4,21,13,0.1,0.2,sigmoid,same,64,13.1926784515,0.490234375,0.490234375,0.490234375,13.1935806274,0.4794921875,0.4794921875,0.4794921875
64,35,0.001,sgd,sigmoid,0.5,15,9,0.001,0.2,sigmoid,same,32,1.02617251873,0.496323525906,0.496323525906,0.496323525906,1.02736330032,0.479687511921,0.479687511921,0.479687511921
16,25,0.01,sgd,softmax,0.1,19,11,0.3,0.2,softmax,same,1024,567.18548584,0.49724265933,0.49724265933,0.49724265933,567.186645508,0.478645831347,0.478645831347,0.478645831347
128,35,0.001,adam,relu,0.001,17,5,0.2,0.01,sigmoid,same,16,11.5288467407,0.49609375,0.49609375,0.49609375,11.5292425156,0.479166656733,0.479166656733,0.479166656733
16,30,0.0001,rmsprop,softmax,0.2,25,11,0.001,0.3,softmax,same,1024,0.788295984268,0.49724265933,0.49724265933,0.49724265933,0.788808763027,0.478645831347,0.478645831347,0.478645831347
16,25,1e-05,rmsprop,relu,0,17,9,0.2,0.2,softmax,same,256,3.17668175697,0.513786792755,0.513786792755,0.513786792755,3.1764819622,0.498958319426,0.498958319426,0.498958319426
128,25,0.001,sgd,sigmoid,0,11,3,0.2,0.001,sigmoid,same,64,4.893034935,0.50390625,0.0,0.0,4.89160776138,0.520833313465,1.0,0.000520833360497
128,30,1e-05,rmsprop,tanh,0.2,23,9,0.1,0.3,sigmoid,same,1024,12.8484325409,0.5341796875,0.53996104002,0.541015625,12.8485393524,0.528124988079,0.530334711075,0.528124988079
512,35,1e-05,sgd,relu,0.3,21,11,0.3,0.2,sigmoid,same,512,1168.47363281,0.458984375,0.465136051178,0.5341796875,1168.62426758,0.462890625,0.471972614527,0.53857421875
256,35,0.1,adam,relu,0,23,7,0.1,0.3,sigmoid,same,1024,72991.25,0.4951171875,0.495107620955,0.494140625,94064.2890625,0.48291015625,0.48291015625,0.48291015625
256,25,0.001,sgd,relu,0.5,27,7,0.01,0.01,softmax,same,512,2.9886841774,0.708984375,0.708984375,0.708984375,3.0216422081,0.61962890625,0.61962890625,0.61962890625
512,25,0.0001,rmsprop,softmax,0.2,25,15,0.001,0.0001,sigmoid,same,16,0.870263695717,0.4794921875,0.485629349947,0.478515625,0.870300531387,0.47802734375,0.482979774475,0.47802734375
64,30,0.1,sgd,relu,0.1,13,11,0.3,0.01,sigmoid,same,64,2646.93603516,0.518382370472,0.523472070694,0.543198525906,2647.02124023,0.504687488079,0.507746100426,0.529166638851
64,35,0.0001,sgd,relu,0,27,15,0.0001,0.2,softmax,same,128,9.88935852051,0.820772051811,0.820772051811,0.820772051811,10.4048604965,0.642708361149,0.642708361149,0.642708361149
512,25,0.001,rmsprop,relu,0.4,13,5,0.2,0.01,softmax,same,16,39.3891143799,0.4814453125,0.4814453125,0.4814453125,39.3889389038,0.484375,0.484375,0.484375
128,30,0.01,rmsprop,relu,0.1,17,5,0.3,0.001,softmax,same,256,215.871017456,0.5107421875,0.5107421875,0.5107421875,215.860137939,0.491666674614,0.491666674614,0.491666674614
16,35,0.01,rmsprop,relu,0.4,15,11,0.01,0.3,sigmoid,same,512,146.686828613,0.498161762953,0.498161762953,0.498161762953,160.710784912,0.480729162693,0.480729162693,0.480729162693
16,35,0.0001,sgd,relu,0.001,21,5,0.001,0.01,sigmoid,same,256,3.83719325066,0.795036792755,0.78823530674,0.800551474094,3.97195386887,0.674479186535,0.662694275379,0.666145861149
32,35,0.001,adam,softmax,0.1,23,5,0.01,0.0001,softmax,same,16,1.416857481,0.498161762953,0.498161762953,0.498161762953,1.41787576675,0.478645831347,0.478645831347,0.478645831347
1024,30,1e-05,adam,sigmoid,0.1,13,7,0.01,0.1,sigmoid,same,256,20.4563274384,0.474609375,0.625,0.029296875,20.4598083496,0.47021484375,0.448275864124,0.0126953125
1024,35,0.1,adam,softmax,0.001,11,5,0.1,0.2,sigmoid,same,1024,112.30355072,0.515625,0.0,0.0,112.303268433,0.51904296875,0.0,0.0
64,35,0.001,adam,sigmoid,0,27,9,0.0001,0.2,sigmoid,same,1024,1.36460399628,0.500919103622,0.500459969044,0.5,1.36591458321,0.481249988079,0.480438172817,0.479687511921
512,30,0.1,rmsprop,relu,0.01,25,15,0.1,0.0001,sigmoid,same,16,6842.39746094,0.5205078125,0.5205078125,0.5205078125,6842.38916016,0.521484375,0.521484375,0.521484375
512,25,1e-05,rmsprop,sigmoid,0.1,21,7,0.2,0.3,softmax,same,256,320.782226563,0.4921875,0.4921875,0.4921875,320.781036377,0.494140625,0.494140625,0.494140625
16,25,0.001,rmsprop,sigmoid,0,15,13,0.1,0.1,sigmoid,same,32,59.4120864868,0.49724265933,0.49724265933,0.49724265933,59.4125976563,0.478645831347,0.478645831347,0.478645831347
256,35,0.001,rmsprop,tanh,0.5,13,3,0.3,0.01,sigmoid,same,32,35.7714309692,0.509765625,0.508806288242,0.5078125,35.7712516785,0.52001953125,0.520058691502,0.51904296875
