batch_size,epochs,learning_rate,optimizer,use_residuals,use_bottleneck,num_modules,filter_size,bottleneck_size,num_filters,residual_activation,module_activation,module_output_activation,output_layer_activation,reg_residual,reg_module,l1_r,l2_r,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
512,50,0.01,rmsprop,True,False,1,40,26,32,tanh,sigmoid,sigmoid,sigmoid,True,False,0.0,0.1,0.258977144957,0.898389862805,0.908233,0.883134,0.895508,0.219855934381,0.92236328125,0.925237,0.924362,0.924799,"[[2734  237]
 [ 240 2933]]"
64,50,0.0001,rmsprop,True,True,6,32,48,32,tanh,linear,relu,sigmoid,False,False,0.001,0.1,0.151511922479,0.944706050228,0.95102,0.936013,0.943457,0.124466300011,0.959931930693,0.951599,0.971839,0.961613,"[[2961  165]
 [  94 3244]]"
256,50,0.001,sgd,False,True,3,48,56,40,relu,linear,relu,sigmoid,True,False,0.001,0.0001,0.343096673489,0.873809070122,0.87913,0.86265,0.870812,0.314958304167,0.89875,0.895585,0.909697,0.902586,"[[2750  350]
 [ 298 3002]]"
128,50,0.001,adam,True,False,3,64,40,32,relu,linear,relu,sigmoid,True,True,0.1,0.001,,,,,,,,,,,
256,50,0.001,adam,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.355481564999,0.83124523628,0.752917,0.978984,0.851196,0.322631716728,0.8509375,0.779819,0.990606,0.872664,"[[2177  923]
 [  31 3269]]"
128,50,0.001,adam,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.141127452254,0.949052019817,0.961967,0.933572,0.947557,0.127719298005,0.96171875,0.961062,0.964848,0.962952,"[[2971  129]
 [ 116 3184]]"
256,50,0.01,sgd,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.666959941387,0.844798018293,0.783853,0.946084,0.857362,0.666107058525,0.8721875,0.809168,0.984242,0.88816,"[[2334  766]
 [  52 3248]]"
64,50,0.01,sgd,False,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.281203597784,0.888199200913,0.906114,0.86252,0.88378,0.246893301606,0.911819306931,0.923242,0.904434,0.913741,"[[2875  251]
 [ 319 3019]]"
256,50,0.01,sgd,True,False,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,,,,,,,,,,,
64,50,0.001,sgd,False,True,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.223355576396,0.915382420091,0.923096,0.903585,0.913236,0.175913140178,0.939975247525,0.934079,0.950869,0.942399,"[[2902  224]
 [ 164 3174]]"
256,50,0.001,sgd,True,True,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.320095181465,0.882979230183,0.882154,0.880236,0.881194,0.286151617765,0.91203125,0.898631,0.934848,0.916382,"[[2752  348]
 [ 215 3085]]"
64,50,0.001,sgd,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.242725208402,0.906035958904,0.918797,0.887806,0.903036,0.199815288186,0.930383663366,0.931045,0.934392,0.932715,"[[2895  231]
 [ 219 3119]]"
128,50,0.001,sgd,False,False,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.589364171028,0.803258384146,0.940631,0.641432,0.762739,0.591398715973,0.800625,0.943082,0.652727,0.77149,"[[2970  130]
 [1146 2154]]"
128,50,0.001,sgd,True,True,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.229336634278,0.912371379573,0.922291,0.897918,0.909941,0.181546404958,0.93765625,0.935194,0.944545,0.939846,"[[2884  216]
 [ 183 3117]]"
256,50,0.01,sgd,True,False,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.238605096936,0.907107469512,0.91987,0.889028,0.904186,0.192538097501,0.934375,0.934258,0.938788,0.936518,"[[2882  218]
 [ 202 3098]]"
128,50,0.0001,rmsprop,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.283120930195,0.891077553354,0.899633,0.876902,0.888122,0.251669496298,0.9171875,0.916416,0.923636,0.920012,"[[2822  278]
 [ 252 3048]]"
64,50,0.01,adam,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.211645007133,0.922612252664,0.93208,0.909231,0.920514,0.165166631341,0.946008663366,0.939947,0.956561,0.948181,"[[2922  204]
 [ 145 3193]]"
256,50,0.001,adam,True,False,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.16388335824,0.946408155488,0.951186,0.939514,0.945314,0.151781305671,0.960625,0.955469,0.968788,0.962082,"[[2951  149]
 [ 103 3197]]"
128,50,0.001,adam,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.256503760815,0.902986852134,0.902762,0.900188,0.901473,0.222452297807,0.9246875,0.917111,0.938788,0.927823,"[[2820  280]
 [ 202 3098]]"
64,50,0.001,rmsprop,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.250635266304,0.90273021309,0.909862,0.890894,0.900278,0.213576987386,0.92698019802,0.925981,0.933194,0.929573,"[[2877  249]
 [ 223 3115]]"
128,50,0.001,rmsprop,False,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.254426956177,0.902653391768,0.906281,0.895116,0.900664,0.218636959791,0.925625,0.921744,0.935152,0.9284,"[[2838  262]
 [ 214 3086]]"
256,50,0.001,sgd,True,False,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.365706861019,0.87314214939,0.88209,0.857288,0.869512,0.342114031315,0.89921875,0.89997,0.905152,0.902553,"[[2768  332]
 [ 313 2987]]"
64,50,0.0001,sgd,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.520894885063,0.87100456621,0.84731,0.900545,0.873117,0.514125645161,0.901918316832,0.868392,0.954763,0.909532,"[[2643  483]
 [ 151 3187]]"
64,50,0.001,adam,False,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.250097483397,0.902991818874,0.913577,0.887082,0.900135,0.21263165772,0.926051980198,0.928144,0.9287,0.928422,"[[2886  240]
 [ 238 3100]]"
128,50,0.01,rmsprop,True,True,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,,,,,,,,,,,
64,50,0.001,adam,True,False,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.166399493814,0.942304033486,0.944728,0.937799,0.941251,0.147210672498,0.959467821782,0.950234,0.972439,0.961208,"[[2956  170]
 [  92 3246]]"
256,50,0.01,adam,True,False,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.244627222419,0.906083269817,0.908643,0.899995,0.904298,0.206884458661,0.92953125,0.921824,0.943333,0.932455,"[[2836  264]
 [ 187 3113]]"
128,50,0.0001,adam,True,True,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.185389026999,0.931092797256,0.943597,0.914923,0.929039,0.146975532174,0.95390625,0.950795,0.960303,0.955525,"[[2936  164]
 [ 131 3169]]"
64,50,0.001,sgd,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.376498878002,0.856687595129,0.908091,0.789075,0.84441,0.362552046776,0.876237623762,0.922156,0.830437,0.873897,"[[2892  234]
 [ 566 2772]]"
64,50,0.01,adam,True,False,3,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,,,,,,,,,,,
256,50,0.001,adam,False,False,6,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,0.929537475109,0.493021150915,0.493021,1.0,0.660434,0.891083419323,0.515625,0.515625,1.0,0.680412,"[[   0 3100]
 [   0 3300]]"
128,50,0.01,sgd,True,True,1,40,32,32,relu,linear,relu,sigmoid,False,False,0.0,0.0,,,,,,,,,,,
128,50,0.001,rmsprop,False,True,4,88,40,40,relu,linear,relu,sigmoid,False,False,0.0,0.0,,,,,,,,,,,
