meier_load,use_layerwise_dropout_batchnorm,units,second_dense_units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,first_dense_units,epochs,dropout_rate,dropout_T_bn_F,dense_activation,decay_sequence,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
False,False,90,110,sigmoid,rmsprop,1,0.0001,0.2,0.0,110,50,0.1,False,softmax,[1],256,18.8906707764,0.493021150915,0.493021,1.0,0.82942,18.890663147,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,True,100,190,sigmoid,adam,1,0.001,0.001,0.1,190,50,0.3,True,tanh,[1],128,7.48492383957,0.506978849085,0.0,0.0,0.0,7.48580741882,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,90,100,sigmoid,sgd,2,0.0001,0.001,0.01,100,50,0.0,False,relu,"[1, 1]",128,22.1390171051,0.507002667683,1.0,4.8e-05,6e-05,22.1389522552,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,120,180,sigmoid,sgd,2,0.0001,0.1,0.2,220,50,0.01,False,tanh,"[1, 1]",256,602.642700195,0.506978849085,0.0,0.0,0.0,602.643432617,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,80,100,sigmoid,rmsprop,2,0.01,0.0001,0.1,140,50,0.001,False,relu,"[1, 4]",256,4.73719596863,0.493021150915,0.493021,1.0,0.82942,4.73691511154,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,True,80,250,sigmoid,sgd,2,0.0001,0.0,0.2,290,50,0.3,False,tanh,"[1, 2]",128,205.209503174,0.504525533537,0.497603,0.516498,0.512605,205.210021973,0.49984375,0.515068,0.512727,0.513194,"[[1507 1593]
 [1608 1692]]"
False,True,120,160,sigmoid,sgd,2,0.01,0.3,0.01,260,50,0.2,True,relu,"[1, 2]",128,1.87668585777,0.506978849085,0.0,0.0,0.0,1.87711846828,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,100,200,sigmoid,sgd,2,0.001,0.001,0.01,200,50,0.0,True,tanh,"[1, 1]",128,24.4038276672,0.506978849085,0.0,0.0,0.0,24.4040431976,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,80,190,sigmoid,adam,1,0.01,0.2,0.0001,190,50,0.1,False,softmax,[1],256,0.693801760674,0.493021150915,0.493021,1.0,0.82942,0.69294065237,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,True,120,120,sigmoid,adam,1,0.001,0.3,0.01,120,50,0.01,True,softmax,[1],64,8.47254085541,0.50715848554,0.0,0.0,0.0,8.47328567505,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,90,130,sigmoid,sgd,1,0.0001,0.01,0.01,130,50,0.1,True,tanh,[1],64,3.23018550873,0.507229832572,0.666667,0.00029,0.000362,3.23024487495,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,110,180,sigmoid,sgd,1,0.01,0.001,0.3,240,50,0.01,False,tanh,[1],256,1.97431921959,0.493021150915,0.493021,1.0,0.82942,1.97384822369,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,90,130,sigmoid,sgd,1,0.001,0.0,0.3,130,50,0.0,False,softmax,[1],128,26.2554893494,0.506978849085,0.0,0.0,0.0,26.2556266785,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,100,160,sigmoid,rmsprop,2,0.0001,0.0001,0.2,220,50,0.01,False,tanh,"[1, 4]",256,177.270217896,0.506978849085,0.0,0.0,0.0,177.271087646,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,120,180,sigmoid,rmsprop,2,0.0001,0.0001,0.0001,180,50,0.1,True,tanh,"[1, 1]",256,0.952901661396,0.506978849085,0.0,0.0,0.0,0.953204035759,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,140,180,sigmoid,sgd,2,0.0001,0.01,0.1,180,50,0.1,True,tanh,"[1, 4]",256,166.908096313,0.50693121189,0.0,0.0,0.0,166.907943726,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,110,190,sigmoid,sgd,1,0.01,0.001,0.0,190,50,0.1,True,relu,[1],128,0.807381033897,0.506978849085,0.0,0.0,0.0,0.80786716938,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,110,220,sigmoid,rmsprop,2,0.001,0.0,0.2,270,50,0.0,False,softmax,"[1, 2]",128,25.1307182312,0.506978849085,0.0,0.0,0.0,25.1314182281,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,80,200,sigmoid,rmsprop,2,0.01,0.01,0.3,210,50,0.2,True,relu,"[1, 2]",64,23.441778183,0.49284151446,0.492842,1.0,0.829318,23.4409580231,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,True,120,130,sigmoid,adam,1,0.01,0.01,0.2,130,50,0.0,False,tanh,[1],128,1.43562841415,0.506978849085,0.0,0.0,0.0,1.43716883659,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,140,120,sigmoid,sgd,1,0.01,0.0001,0.1,120,50,0.0,True,softmax,[1],256,12.5795183182,0.506978849085,0.0,0.0,0.0,12.5798654556,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,140,100,sigmoid,rmsprop,2,0.001,0.001,0.0,210,50,0.0,False,relu,"[1, 2]",128,0.786473155022,0.506978849085,0.0,0.0,0.0,0.786853551865,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,100,180,sigmoid,rmsprop,2,0.0001,0.3,0.0,240,50,0.2,True,relu,"[1, 1]",64,56.3150405884,0.50715848554,0.0,0.0,0.0,56.31590271,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,110,160,sigmoid,sgd,1,0.001,0.01,0.01,240,50,0.2,False,tanh,[1],64,3.10083985329,0.50715848554,0.5,0.000145,0.000181,3.10142970085,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,False,140,100,sigmoid,adam,1,0.01,0.0,0.3,100,50,0.1,True,softmax,[1],256,1.67150092125,0.493021150915,0.493021,1.0,0.82942,1.671474576,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,True,90,100,sigmoid,sgd,1,0.001,0.0,0.1,110,50,0.1,True,tanh,[1],256,14.9561510086,0.50702648628,1.0,9.7e-05,0.000121,14.9562549591,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,80,110,sigmoid,sgd,1,0.001,0.0001,0.2,270,50,0.001,False,tanh,[1],256,23.8975868225,0.506978849085,0.0,0.0,0.0,23.8976898193,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,100,260,sigmoid,rmsprop,2,0.01,0.3,0.2,260,50,0.001,False,relu,"[1, 2]",256,23.2622261047,0.506978849085,0.0,0.0,0.0,23.2663211823,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,130,140,sigmoid,sgd,1,0.01,0.2,0.001,140,50,0.2,True,softmax,[1],64,0.832801222801,0.50715848554,0.0,0.0,0.0,0.833312392235,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,True,80,120,sigmoid,sgd,1,0.01,0.0,0.0001,120,50,0.001,False,tanh,[1],64,0.70668554306,0.50799086758,0.500753,0.561646,0.548311,0.706623196602,0.52103960396,0.533913,0.570701,0.562943,"[[1463 1663]
 [1433 1905]]"
False,False,110,120,sigmoid,sgd,1,0.001,0.001,0.01,120,50,0.1,False,softmax,[1],128,2.62252545357,0.493021150915,0.493021,1.0,0.82942,2.62209701538,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,110,110,sigmoid,adam,2,0.01,0.1,0.0,220,50,0.3,True,softmax,"[1, 4]",256,0.724273622036,0.506978849085,0.0,0.0,0.0,0.725342392921,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,140,120,sigmoid,sgd,2,0.01,0.0,0.0001,120,50,0.2,True,relu,"[1, 2]",256,0.955986917019,0.506978849085,0.0,0.0,0.0,0.956507086754,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,110,120,sigmoid,rmsprop,1,0.01,0.2,0.0,270,50,0.001,True,softmax,[1],256,0.704471349716,0.493021150915,0.493021,1.0,0.82942,0.70378780365,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,140,150,sigmoid,sgd,1,0.0001,0.1,0.0001,150,50,0.1,True,relu,[1],64,14.9145803452,0.611230022831,0.62299,0.534816,0.550396,14.9145708084,0.596225247525,0.631408,0.523966,0.542426,"[[2105 1021]
 [1589 1749]]"
False,True,120,100,sigmoid,rmsprop,2,0.01,0.3,0.3,110,50,0.3,False,relu,"[1, 1]",64,92.5907440186,0.49284151446,0.492842,1.0,0.829318,92.5899505615,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,False,100,160,sigmoid,adam,1,0.001,0.0001,0.01,160,50,0.01,False,relu,[1],128,1.3723359108,0.506978849085,0.0,0.0,0.0,1.37289559841,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,110,150,sigmoid,sgd,1,0.001,0.0,0.2,170,50,0.0,False,relu,[1],256,24.213312149,0.506978849085,0.0,0.0,0.0,24.2134075165,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,140,130,sigmoid,adam,1,0.0001,0.001,0.1,130,50,0.1,False,softmax,[1],128,18.4011631012,0.506978849085,0.0,0.0,0.0,18.4013061523,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,110,100,sigmoid,sgd,2,0.001,0.001,0.1,150,50,0.0,True,softmax,"[1, 4]",256,99.6341934204,0.493021150915,0.493021,1.0,0.82942,99.6339416504,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,90,120,sigmoid,sgd,1,0.01,0.01,0.3,120,50,0.3,False,tanh,[1],128,1.77070128918,0.506978849085,0.0,0.0,0.0,1.77071177959,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,100,160,sigmoid,rmsprop,1,0.001,0.0001,0.01,160,50,0.001,False,relu,[1],64,1.03847134113,0.50715848554,0.0,0.0,0.0,1.03886067867,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,False,130,100,sigmoid,rmsprop,1,0.0001,0.0,0.1,110,50,0.1,True,softmax,[1],64,14.03307724,0.50715848554,0.0,0.0,0.0,14.0334539413,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,False,100,110,sigmoid,sgd,1,0.0001,0.0,0.001,110,50,0.2,True,softmax,[1],64,0.863231539726,0.49284151446,0.492842,1.0,0.829318,0.862837672234,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,True,140,120,sigmoid,adam,1,0.001,0.3,0.0001,150,50,0.2,False,tanh,[1],64,1.48634266853,0.49284151446,0.492842,1.0,0.829318,1.486333251,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,True,120,100,sigmoid,rmsprop,1,0.001,0.01,0.0,100,50,0.3,True,tanh,[1],256,1.51788306236,0.506978849085,0.0,0.0,0.0,1.52079308033,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,80,130,sigmoid,adam,1,0.0001,0.01,0.001,130,50,0.0,False,relu,[1],64,0.954337656498,0.68398021309,0.687138,0.658688,0.664188,0.961012065411,0.674659653465,0.701075,0.644997,0.655483,"[[2208  918]
 [1185 2153]]"
False,True,140,240,sigmoid,sgd,2,0.01,0.0001,0.1,240,50,0.01,False,tanh,"[1, 4]",256,,,,,,,,,,,
False,False,110,140,sigmoid,sgd,1,0.01,0.1,0.0001,160,50,0.1,True,tanh,[1],128,3.81861042976,0.506978849085,0.0,0.0,0.0,3.81915640831,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,110,100,sigmoid,adam,2,0.0001,0.001,0.2,100,50,0.0,False,softmax,"[1, 1]",256,415.167419434,0.506978849085,0.0,0.0,0.0,415.167419434,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,130,160,sigmoid,sgd,1,0.01,0.1,0.2,240,50,0.001,True,tanh,[1],256,15.267534256,0.506978849085,0.0,0.0,0.0,15.2678480148,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,90,150,sigmoid,adam,1,0.01,0.2,0.1,150,50,0.1,True,softmax,[1],128,,,,,,,,,,,
False,True,90,170,sigmoid,rmsprop,1,0.0001,0.1,0.0001,170,50,0.2,True,softmax,[1],256,9.79444122314,0.506978849085,0.0,0.0,0.0,9.79474925995,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,100,100,sigmoid,adam,2,0.01,0.3,0.2,100,50,0.2,False,tanh,"[1, 1]",128,12.9262866974,0.493021150915,0.493021,1.0,0.82942,12.9258375168,0.515625,0.515625,1.0,0.841837,"[[   0 3100]
 [   0 3300]]"
False,False,120,120,sigmoid,sgd,2,0.0001,0.1,0.01,190,50,0.01,False,tanh,"[1, 1]",128,75.132270813,0.506978849085,0.0,0.0,0.0,75.1321334839,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,140,110,sigmoid,sgd,2,0.01,0.01,0.3,110,50,0.1,False,softmax,"[1, 4]",128,,,,,,,,,,,
False,True,80,200,sigmoid,adam,2,0.01,0.01,0.2,280,50,0.1,True,softmax,"[1, 4]",64,2.68529415131,0.49284151446,0.492842,1.0,0.829318,2.68494033813,0.516398514851,0.516399,1.0,0.842249,"[[   0 3126]
 [   0 3338]]"
False,False,100,120,sigmoid,adam,2,0.0001,0.0001,0.2,120,50,0.1,True,softmax,"[1, 2]",256,263.030975342,0.506978849085,0.0,0.0,0.0,263.030731201,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,True,90,140,sigmoid,rmsprop,2,0.01,0.01,0.3,180,50,0.1,True,tanh,"[1, 1]",64,,,,,,,,,,,
False,False,120,260,sigmoid,adam,1,0.001,0.0001,0.2,280,50,0.001,False,tanh,[1],256,20.8196277618,0.506978849085,0.0,0.0,0.0,20.8202991486,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,False,140,170,sigmoid,sgd,1,0.001,0.2,0.3,170,50,0.001,False,relu,[1],128,,,,,,,,,,,
